date,Close,High,Low,Open,Volume,stockname
2018-01-02,53.87715530395508,53.94720684242162,53.44810132169172,53.80710710572974,679200,AOS
2018-01-03,54.20113754272461,54.279943851755846,53.66700626376191,53.9384476191264,766100,AOS
2018-01-04,54.455078125,54.63896178046391,54.13109804481235,54.288710697928906,934500,AOS
2018-01-05,55.15557098388672,55.16432575636409,54.61268156353289,54.647707333925,619400,AOS
2018-01-08,55.41825485229492,55.51457404600938,54.814072033628285,55.05924907405812,572300,AOS
2018-01-09,55.37447738647461,55.74223795717906,55.29567107271775,55.44452558745775,526400,AOS
2018-01-10,55.52333831787109,55.77727017379388,55.16433247820987,55.26940646194831,634400,AOS
2018-01-11,56.6966667175293,56.714176262045214,55.66342989854653,55.69845566806082,558700,AOS
2018-01-12,57.195777893066406,57.23956177940561,56.60911122682645,56.810501070827335,856600,AOS
2018-01-16,56.97686767578125,57.95756920625308,56.76671973370965,57.51975709665573,1003200,AOS
2018-01-17,57.43219375610352,57.581054962004735,56.90682052019768,57.32712311721224,677900,AOS
2018-01-18,57.71239471435547,57.88751688363636,57.2920921554058,57.2920921554058,507700,AOS
2018-01-19,58.70184326171875,58.71060137367079,57.74740947340708,57.94880596541186,635200,AOS
2018-01-22,58.66682815551758,58.72812158935625,58.158964457721,58.69309581566511,929000,AOS
2018-01-23,58.49170303344727,58.83319595920158,58.1151843357588,58.57050600993691,655600,AOS
2018-01-24,58.49170303344727,59.23598231571993,58.193987312248446,58.806928300371695,900700,AOS
2018-01-25,59.0170783996582,59.37608088420548,58.59677580163271,58.71061123468293,1418600,AOS
2018-01-26,59.4023551940918,59.64753563400316,58.841956120976505,59.29728454318512,1310600,AOS
2018-01-29,58.509220123291016,59.88395011666881,58.47419434684068,59.40235404108139,1373500,AOS
2018-01-30,58.31605911254883,58.88675360895615,55.31333672647276,56.36692141328006,2342700,AOS
2018-01-31,58.63212585449219,59.21160202233572,58.237033338982094,58.96576608392704,4651900,AOS
2018-02-01,58.64091873168945,59.80864635886103,58.2458194428085,58.81651394995107,1481500,AOS
2018-02-02,56.75322723388672,58.29849026162137,56.74444546538932,58.08777470737059,1006000,AOS
2018-02-05,54.04903793334961,56.84104162255621,53.9524585469144,56.4459490042512,1560300,AOS
2018-02-06,54.7162971496582,55.05871246732004,52.240367399665566,52.94275822426212,2007200,AOS
2018-02-07,55.06748962402344,56.06839688389346,54.54947580628644,54.57581441335774,1155300,AOS
2018-02-08,52.89008712768555,55.16407998814821,52.8725269363801,55.102617643947134,1237500,AOS
2018-02-09,53.52223205566406,54.0051255471092,51.5467559412637,53.460773066712704,1271800,AOS
2018-02-12,54.41778945922852,54.90068302015379,53.54858171941587,54.06659566458477,1063600,AOS
2018-02-13,55.0762825012207,55.21676069124983,53.92611501773803,54.22463159020796,773900,AOS
2018-02-14,56.24399948120117,56.305458471982064,54.47046381971856,54.67240098217918,939100,AOS
2018-02-15,57.271240234375,57.29757883942532,56.164971932578105,56.57762794110301,1186700,AOS
2018-02-16,57.54342269897461,58.27215546580598,57.05175080739062,57.05175080739062,1723900,AOS
2018-02-20,57.45562362670898,58.00875449052051,57.13076516467729,57.157103772688274,1214200,AOS
2018-02-21,57.4029426574707,58.72870848310577,57.3502654387459,57.36782227881174,1026300,AOS
2018-02-22,57.56098556518555,58.21070257397746,57.20979514787167,57.61366948660489,772900,AOS
2018-02-23,58.307273864746094,58.45653044126478,57.66633871480277,58.08777653509148,751700,AOS
2018-02-26,58.14925003051758,58.51800402871292,57.74536894846144,58.4389814870833,906000,AOS
2018-02-27,57.41172409057617,58.623347003842746,57.40294232133103,58.31605206553535,1038100,AOS
2018-02-28,56.3581428527832,57.86828572264574,56.3581428527832,57.64000659850827,1150300,AOS
2018-03-01,54.48802185058594,56.375696998398496,53.90854899671243,56.3581401582401,1521800,AOS
2018-03-02,54.32999420166016,54.59339039637032,53.3203048811295,54.04903781406741,1064400,AOS
2018-03-05,55.146522521972656,55.33967793734949,53.90855744250754,53.996355054109365,947200,AOS
2018-03-06,55.55916976928711,55.717208133805165,55.11139663599519,55.31333380193185,966000,AOS
2018-03-07,56.20888519287109,56.3230281156404,54.85678389988724,54.85678389988724,802100,AOS
2018-03-08,56.66544342041016,56.902497639256616,56.05085009744901,56.24400551092628,1204300,AOS
2018-03-09,58.37751388549805,58.47409325629858,56.83225734974471,57.069311542646645,758800,AOS
2018-03-12,58.19312286376953,58.69357643776051,58.03508454048154,58.69357643776051,656900,AOS
2018-03-13,57.84193420410156,58.517989734177526,57.64000041092963,58.38628999598495,654700,AOS
2018-03-14,57.33271408081055,58.31605798317942,57.20101432287816,58.21947860726419,432800,AOS
2018-03-15,57.280029296875,57.6224446432316,56.99907294349196,57.34148828984855,713400,AOS
2018-03-16,57.63122177124024,57.85950088326681,57.165888476417535,57.21856569514394,1012200,AOS
2018-03-19,57.244911193847656,57.61367186489419,56.67422339289072,57.57855148200746,638600,AOS
2018-03-20,57.69269180297852,57.98242995849092,57.40295364746611,57.40295364746611,551000,AOS
2018-03-21,57.64000701904297,58.368739848530446,57.64000701904297,57.7892636134601,680300,AOS
