date,Close,High,Low,Open,Volume,stockname
2018-01-02,1765.447998046875,1771.2941154363791,1725.6333002340791,1731.162810791088,475500,BKNG
2018-01-03,1804.4320068359373,1809.239432147751,1765.6954827708253,1770.8689017560644,525000,BKNG
2018-01-04,1787.7047119140625,1828.9042940949205,1782.5411948455717,1818.6563512932328,592600,BKNG
2018-01-05,1803.8184814453125,1805.7572454352664,1786.2703489338508,1800.49483428391,358600,BKNG
2018-01-08,1831.7830810546875,1854.672720046184,1805.450855428488,1807.726029661076,555600,BKNG
2018-01-09,1845.1171875,1856.4334075358252,1837.411396623242,1843.0497036183424,368800,BKNG
2018-01-10,1852.6546630859373,1853.287756027527,1835.35382568654,1835.4527200445723,274200,BKNG
2018-01-11,1872.6263427734373,1880.3024290312649,1857.5709740964128,1859.668041739007,385900,BKNG
2018-01-12,1898.641845703125,1905.1506399874904,1869.5696820334465,1877.5128671180264,555300,BKNG
2018-01-16,1898.7110595703125,1928.7427041572232,1894.2498251923523,1909.8294902273196,604900,BKNG
2018-01-17,1928.8118896484373,1937.7738431163427,1897.929562384116,1906.703628658768,515700,BKNG
2018-01-18,1905.8729248046875,1936.3200733900744,1905.14093743715,1927.57571027642,398600,BKNG
2018-01-19,1889.5511474609373,1912.8861098755183,1880.470496265588,1910.5911329251876,634500,BKNG
2018-01-22,1895.0511474609373,1905.8529714108008,1880.4408642978444,1889.3435301467032,398200,BKNG
2018-01-23,1941.7109375,1948.061549296565,1904.171411346576,1906.7037831564664,472000,BKNG
2018-01-24,1934.09423828125,1963.4729870413305,1921.640431856032,1956.5191076554468,405300,BKNG
2018-01-25,1928.5845947265625,1955.2232823652416,1924.4299447760436,1945.60843198712,329900,BKNG
2018-01-26,1929.3857421875,1943.7091231723407,1923.925421093801,1939.7820872897837,380500,BKNG
2018-01-29,1908.365478515625,1939.257708692765,1900.4718010381005,1921.660188543664,448800,BKNG
2018-01-30,1900.7489013671875,1912.2234245412671,1879.7781044971864,1886.4947100622887,382300,BKNG
2018-01-31,1891.37158203125,1914.043629200371,1875.49511150563,1907.15893895008,452800,BKNG
2018-02-01,1883.101806640625,1907.979837133444,1872.9132721193075,1883.398610483537,360000,BKNG
2018-02-02,1838.9940185546875,1879.451713807196,1836.4913512399537,1869.688461576529,513800,BKNG
2018-02-05,1806.1827392578125,1852.357830481969,1796.8546709627792,1821.3865088801597,548200,BKNG
2018-02-06,1838.558837890625,1843.8410525896152,1780.5431068015523,1780.5431068015523,564500,BKNG
2018-02-07,1862.3189697265625,1879.8175953636028,1816.816457263776,1827.410590547136,491200,BKNG
2018-02-08,1786.5277099609375,1868.8476654772744,1783.510647088498,1863.832429371299,677100,BKNG
2018-02-09,1745.911865234375,1804.2737916076487,1695.5326102366698,1748.8596177887985,1137500,BKNG
2018-02-12,1770.641357421875,1782.2048734664252,1713.614811341473,1754.8044940566551,682300,BKNG
2018-02-13,1778.416259765625,1785.310850740185,1742.9440975595646,1759.9877370369054,375200,BKNG
2018-02-14,1798.7442626953125,1806.0839394741663,1753.8451327422797,1764.9239584934614,452400,BKNG
2018-02-15,1850.0235595703125,1855.533267823384,1816.2329604374968,1830.8432446819163,491300,BKNG
2018-02-16,1864.6138916015625,1906.0310664221447,1848.4704440892135,1854.346145554144,559100,BKNG
2018-02-20,1874.1298828125,1894.6059662297296,1860.5879966561583,1862.704746525266,408000,BKNG
2018-02-21,1860.3406982421875,1895.31826909958,1860.3208952200464,1892.7266089519208,518700,BKNG
2018-02-22,1856.8388671875,1887.117807533602,1850.488255600894,1863.8125494448584,432300,BKNG
2018-02-23,1886.395751953125,1887.1772468069355,1854.880329771428,1869.292703267448,555300,BKNG
2018-02-26,1885.0306396484373,1902.4204696016425,1877.1369621585864,1885.337224228177,570100,BKNG
2018-02-27,1884.407470703125,1898.9880490588075,1849.795894564689,1863.6246826028355,661900,BKNG
2018-02-28,2012.0421142578125,2064.7657287760467,2012.0421142578125,2028.818655037288,1441100,BKNG
2018-03-01,2006.433349609375,2031.3311817132712,1977.2127835063256,2012.6058548907715,837500,BKNG
2018-03-02,2011.7947998046875,2015.83063153589,1973.9979550868045,1981.159645538817,642400,BKNG
2018-03-05,2050.244384765625,2054.5375352121387,1993.0992606737368,1998.1539822477228,614800,BKNG
2018-03-06,2062.95556640625,2073.203630992104,2036.5443707587235,2052.6582357622947,533100,BKNG
2018-03-07,2099.970703125,2104.946333267977,2042.667276635868,2042.667276635868,580300,BKNG
2018-03-08,2126.8271484375,2145.690734160194,2107.6368128558524,2114.867813799508,584400,BKNG
2018-03-09,2147.13525390625,2154.405619754306,2135.720018798929,2145.542559577469,489400,BKNG
2018-03-12,2182.231201171875,2194.11132255984,2150.557478477242,2156.4232778469136,529700,BKNG
2018-03-13,2146.53173828125,2204.883759607972,2138.796242922297,2187.019018148662,519200,BKNG
2018-03-14,2165.22705078125,2170.845795723212,2138.944577986884,2152.0215753161324,344500,BKNG
2018-03-15,2164.109619140625,2183.695533448739,2147.619979938174,2166.325384220919,336000,BKNG
2018-03-16,2148.005615234375,2174.8027274328865,2146.3042457853026,2172.4384397243816,474000,BKNG
2018-03-19,2123.671142578125,2142.3371782545228,2101.90907396984,2138.242058876519,450800,BKNG
2018-03-20,2115.975830078125,2144.246575809614,2114.9074328978363,2116.3119984495,256800,BKNG
2018-03-21,2121.781982421875,2142.396684377626,2111.4945552137697,2119.131034291367,297200,BKNG
2018-03-22,2090.939453125,2131.2388432911644,2079.098936795279,2109.822841585983,443300,BKNG
2018-03-23,2064.439208984375,2115.8570312563343,2063.5785020256726,2093.353070190202,412500,BKNG
2018-03-26,2110.634033203125,2119.2101904642304,2056.535559783992,2088.38727067959,292700,BKNG
2018-03-27,2055.09130859375,2117.0933586452365,2034.2689154151697,2114.3136907512726,428800,BKNG
2018-03-28,2032.46875,2061.382612217666,1998.846356872942,2044.6258739667016,632500,BKNG
2018-03-29,2057.890869140625,2071.5317715373594,2018.649969972,2037.394981004012,395800,BKNG
2018-04-02,2008.896484375,2051.579846581824,1988.183005859763,2048.03848656145,372300,BKNG
2018-04-03,2045.2095947265625,2057.495196928504,2014.0501419567795,2027.829544135528,378400,BKNG
2018-04-04,2048.612060546875,2059.364376042908,1992.3967198073303,2021.112668924169,385500,BKNG
2018-04-05,2068.474853515625,2079.72176086855,2048.6020408389622,2055.0614475720945,320100,BKNG
2018-04-06,2011.4190673828125,2072.9464579282294,2003.634184858956,2052.4602300237066,350400,BKNG
2018-04-09,2026.5831298828125,2066.2198455897533,2022.8835871633655,2031.529055523799,355500,BKNG
2018-04-10,2055.121337890625,2064.6569768252484,2035.7431131533035,2053.5682495282454,291200,BKNG
2018-04-11,2058.14794921875,2082.017112044759,2042.70690454146,2045.2786409856471,306700,BKNG
2018-04-12,2063.252197265625,2079.9099195139406,2059.631625299336,2071.798650128152,240300,BKNG
2018-04-13,2063.302001953125,2081.9083925156588,2054.854321482265,2081.9083925156588,262000,BKNG
2018-04-16,2073.916015625,2094.7381721921456,2063.2129634688954,2071.4628554949945,194400,BKNG
2018-04-17,2138.9248046875,2148.5099499572198,2089.6534388971577,2096.973311739818,438200,BKNG
2018-04-18,2157.01708984375,2162.4081002491807,2132.900631926054,2148.134227113268,297200,BKNG
2018-04-19,2135.60107421875,2162.4080864122034,2132.65332200858,2151.96223403643,264900,BKNG
2018-04-20,2108.3193359375,2144.0386708197866,2095.7072272678547,2137.6584759104853,414700,BKNG
2018-04-23,2110.614013671875,2127.044482229129,2089.8411293708423,2110.0305491016634,253500,BKNG
2018-04-24,2044.9327392578125,2128.7067770536914,2032.9040924979256,2114.4923111116705,393500,BKNG
2018-04-25,2055.140869140625,2067.23858304774,2012.556404207035,2038.8292172376375,267800,BKNG
2018-04-26,2088.961181640625,2093.263992006126,2055.53657784499,2075.320280215864,356000,BKNG
2018-04-27,2118.55712890625,2148.5096777024983,2100.1287294968947,2122.810672424583,458200,BKNG
2018-04-30,2154.445556640625,2169.34274503367,2110.733516736628,2120.4669454075306,468000,BKNG
2018-05-01,2155.81982421875,2158.7381132140617,2128.518462696819,2146.927060591278,279100,BKNG
2018-05-02,2126.570068359375,2162.061915313587,2125.748967411903,2152.733967050023,268100,BKNG
2018-05-03,2128.93408203125,2138.0741429382388,2093.8081085363724,2125.758836415875,271000,BKNG
2018-05-04,2152.179931640625,2155.2564036423078,2103.007577671979,2125.36325811752,302900,BKNG
2018-05-07,2171.2216796875,2178.027398728155,2149.093734670003,2166.216345141649,344900,BKNG
2018-05-08,2138.222412109375,2175.02004614507,2131.693694449709,2150.834520974449,394400,BKNG
2018-05-09,2159.974853515625,2167.878433075632,2134.918716793353,2161.369517614352,635900,BKNG
2018-05-10,2057.524658203125,2075.7354676014534,2024.8716508173568,2027.829304386672,1134500,BKNG
2018-05-11,2049.58154296875,2072.34270086113,2041.608653424468,2069.6917525201966,479000,BKNG
2018-05-14,2049.611572265625,2052.183550429464,2032.7954235797647,2044.3688423164444,443800,BKNG
2018-05-15,2045.38720703125,2048.7503393050074,2012.665011928644,2031.8849288877936,400700,BKNG
2018-05-16,2052.153564453125,2070.077472543513,2043.2310957010875,2047.949527858217,280300,BKNG
2018-05-17,2066.516845703125,2075.765582630036,2046.911126980055,2051.0854596374866,303500,BKNG
2018-05-18,2043.9927978515625,2075.22119714107,2043.9927978515625,2075.22119714107,277300,BKNG
2018-05-21,2049.15625,2055.9914317883035,2040.2040769543648,2053.9142880734607,346600,BKNG
2018-05-22,2054.7255859375,2059.9584143831107,2042.776392718911,2053.578218024213,296500,BKNG
2018-05-23,2062.6982421875,2063.944625081011,2030.797022520531,2033.81408539374,410700,BKNG
2018-05-24,2065.695556640625,2072.8473458256817,2052.509641549651,2064.4293706915046,279600,BKNG
2018-05-25,2087.7939453125,2095.9940868277035,2058.5634776766383,2061.461722362957,344500,BKNG
2018-05-29,2053.578369140625,2082.3340531768868,2036.8315297801207,2072.0661842737136,487700,BKNG
2018-05-30,2075.310302734375,2085.607632501365,2051.302761466135,2063.8455606900416,342700,BKNG
2018-05-31,2086.1123046875,2095.1040847938134,2074.9149024795306,2077.308653303095,354000,BKNG
2018-06-01,2105.91552734375,2112.335328551412,2095.143408588615,2098.051554627161,301500,BKNG
2018-06-04,2102.8095703125,2122.711847396257,2102.27537176001,2110.9208392015094,284700,BKNG
2018-06-05,2117.835205078125,2121.692930017351,2103.007331436987,2108.8929339469328,339900,BKNG
2018-06-06,2130.4873046875,2133.138253373121,2106.0049712672994,2122.64313376123,297700,BKNG
2018-06-07,2108.9228515625,2133.8304650129885,2098.9715913955297,2133.8304650129885,293800,BKNG
2018-06-08,2113.433349609375,2120.5158272393587,2099.179039259453,2104.698768816206,255800,BKNG
2018-06-11,2101.31640625,2116.223495820894,2097.982735985179,2115.867282865185,235300,BKNG
2018-06-12,2108.9423828125,2110.584342943459,2099.0406314770903,2103.096386505672,255800,BKNG
2018-06-13,2083.579833984375,2110.9505058004293,2080.374884227273,2110.9505058004293,457300,BKNG
2018-06-14,2100.099365234375,2106.9543503209647,2088.476440370983,2091.631882863193,387600,BKNG
2018-06-15,2118.29052734375,2122.613382443211,2089.277890618961,2103.0769753970667,516000,BKNG
2018-06-18,2122.01953125,2130.536520819788,2097.952581620976,2103.561425093864,287800,BKNG
2018-06-19,2116.124267578125,2123.5134517870665,2093.27399364664,2100.791897507292,358900,BKNG
2018-06-20,2122.563720703125,2139.5182469719857,2114.907437727529,2125.7587692400816,348100,BKNG
2018-06-21,2099.535400390625,2129.191149339627,2095.123673637743,2122.336164454552,315300,BKNG
2018-06-22,2080.1083984375,2109.4871534589147,2073.3026780138416,2107.0042887033837,369200,BKNG
2018-06-25,2028.3438720703125,2070.7699151988654,2009.0547624158685,2068.6432638114325,453700,BKNG
2018-06-26,2018.3134765625,2040.045964736194,2010.9934827544585,2025.851062110072,357500,BKNG
2018-06-27,1979.8538818359373,2038.0378142222296,1979.6659946360944,2026.770861238338,449600,BKNG
2018-06-28,1997.6494140625,2003.703222063052,1958.5865040037688,1975.4026507553165,357200,BKNG
2018-06-29,2005.167236328125,2027.31510571279,2001.9820892134385,2013.9314020242,348400,BKNG
2018-07-02,2025.7916259765625,2039.3139501816104,1972.2866390417864,1990.9031697866037,294400,BKNG
2018-07-03,2037.948974609375,2050.323690935175,2028.71979955216,2037.8697625144728,208800,BKNG
2018-07-05,2046.772216796875,2052.7073272917078,2028.8087026392784,2050.5311684103217,248200,BKNG
2018-07-06,2064.35986328125,2067.011053062692,2041.104113382952,2054.537323476132,252800,BKNG
2018-07-09,2059.13720703125,2076.35907535514,2054.4979865564083,2072.194644440607,285300,BKNG
2018-07-10,2041.717529296875,2065.200772494461,2033.180736818636,2063.390486590564,285100,BKNG
2018-07-11,2030.6488037109373,2036.7123926764943,2005.0980743594976,2034.615445767624,332700,BKNG
2018-07-12,2034.8626708984373,2047.6527666438476,2020.3215774527932,2040.1249617594951,357100,BKNG
2018-07-13,2009.4700927734373,2031.0541789660535,2006.146445375106,2030.777178161993,271300,BKNG
2018-07-16,1998.154052734375,2011.9037508116355,1993.465324666683,2009.0152866316903,411200,BKNG
2018-07-17,2008.56005859375,2024.4463077980172,1978.389914395294,1978.9635982575464,352500,BKNG
2018-07-18,2002.021728515625,2012.9719548744692,1992.3672718988191,2002.694306790078,265800,BKNG
2018-07-19,1988.8555908203125,1998.8364349347996,1980.902624514828,1994.563208319176,347100,BKNG
2018-07-20,1987.9356689453125,2003.7626305895649,1980.694766372992,1987.0651812248727,359300,BKNG
2018-07-23,1974.3837890625,1988.806185348915,1963.5324573086907,1984.2954432551835,330000,BKNG
2018-07-24,2004.3363037109373,2027.8195482644237,1987.0255645055377,1987.2728607799008,338000,BKNG
2018-07-25,2043.3499755859373,2045.6251499103068,2007.0568275321336,2007.5316171215304,338800,BKNG
2018-07-26,2060.60107421875,2063.380742354028,2018.9367227241771,2045.55560724848,454900,BKNG
2018-07-27,2062.480712890625,2108.8436946302263,2037.9092671747092,2095.648119477466,520700,BKNG
2018-07-30,2007.9468994140625,2072.965897287204,2005.3750422518644,2066.4077158611603,375900,BKNG
