date,Close,High,Low,Open,Volume,stockname
2018-01-02,80.50940704345703,82.0097650491695,80.16942491339486,81.69195480863686,2036100,CCI
2018-01-03,80.16944885253906,80.93071402747904,79.88120292491779,80.37639406838672,2078900,CCI
2018-01-04,79.23817443847656,80.38377105487598,79.15687374240521,80.03639637872261,2240400,CCI
2018-01-05,79.84423065185547,80.12508965264189,79.27513141770893,79.40077589762227,1769400,CCI
2018-01-08,80.08072662353516,80.3615855766009,79.61510005652978,79.82943770640495,1776500,CCI
2018-01-09,79.58553314208984,80.31723362104908,79.54857623717157,80.04377282444912,1031900,CCI
2018-01-10,77.54566192626953,78.73560250204399,76.3778932456357,78.3069270665454,4849400,CCI
2018-01-11,76.6365737915039,77.74521356371545,75.83095929150343,77.5678271402015,4380700,CCI
2018-01-12,76.5478744506836,76.91742101183179,76.17832788953541,76.90264163047239,2430400,CCI
2018-01-16,77.8412857055664,78.91296845383236,76.8509036500746,76.8509036500746,2844800,CCI
2018-01-17,78.36604309082031,79.07557181370116,77.64173498653557,77.90041645235155,2616500,CCI
2018-01-18,78.42516326904297,78.58037213146297,77.75997840236269,78.12952492398146,2062500,CCI
2018-01-19,79.34164428710938,79.5633744758001,78.0999676358738,78.52864299329829,2867600,CCI
2018-01-22,80.04378509521484,80.09552138673241,79.00166111614708,79.45250835887148,2837800,CCI
2018-01-23,81.54414367675781,81.6254443694631,80.17682255945633,80.50201969144453,2996400,CCI
2018-01-24,80.9972152709961,81.97282363829076,80.81983449459399,81.65501335953564,2405700,CCI
2018-01-25,80.27289581298828,81.46283606275641,79.20121315668322,80.84199497474015,4370700,CCI
2018-01-26,81.76587677001953,81.94326319382307,80.3763836165593,81.5589315810822,3328800,CCI
2018-01-29,81.17459106445312,82.15019366525597,80.44288488472662,81.68456143473321,3214500,CCI
2018-01-30,81.32240295410156,81.60326190663677,80.3098491396773,80.57591743544052,2954600,CCI
2018-01-31,83.34752655029297,83.80576630306659,81.35197743236931,81.36675681330846,2814800,CCI
2018-02-01,83.56927490234375,84.6040065968308,83.02234746737946,83.4510229126266,3168300,CCI
2018-02-02,82.85234832763672,83.65796286470439,82.22412022224474,83.26624436271294,1809700,CCI
2018-02-05,81.67716979980469,83.45838101486059,81.21893010538771,82.44582720390794,2853200,CCI
2018-02-06,80.22856140136719,81.51458186683986,79.03122850251349,80.60549483716395,4553800,CCI
2018-02-07,80.37637329101562,81.23372397942619,79.68901649387018,80.04378365706867,2978700,CCI
2018-02-08,76.72527313232422,80.68681364374294,76.71049374751463,80.19162248952418,4391400,CCI
2018-02-09,76.7622299194336,77.42002249958826,74.47104183718878,76.97656765122383,3670300,CCI
2018-02-12,77.68607330322266,78.0925767486393,76.7400350726159,77.23522607788152,3325300,CCI
2018-02-13,78.60994720458984,78.89819307948787,77.39783490018961,77.70086015687308,1879200,CCI
2018-02-14,77.870849609375,78.53603452835685,76.87307505031866,78.39560503467378,2917800,CCI
2018-02-15,79.55596923828125,79.81465065781404,77.3239108826714,78.0703907449186,2673900,CCI
2018-02-16,80.64984130859375,81.3667568808108,79.47468034439007,79.47468034439007,2769000,CCI
2018-02-20,80.24335479736328,81.09331317184976,80.2063978789288,80.39117119343308,2480900,CCI
2018-02-21,78.92774963378906,80.75331041917589,78.89079272475047,80.3837638841205,2443700,CCI
2018-02-22,80.16204071044922,80.93809075739372,79.0090572247791,79.37121128189774,2293900,CCI
2018-02-23,81.62544250488281,81.62544250488281,80.1546431986908,80.40593778099391,1726100,CCI
2018-02-26,82.4384536743164,82.45323305677599,81.18938440022825,81.72153239010801,1670600,CCI
2018-02-27,81.56633758544922,82.61584872515874,80.26553178986262,82.34238781118107,3278000,CCI
2018-02-28,81.34459686279297,82.87451958146228,81.24851677550308,81.67719219048942,3384000,CCI
2018-03-01,78.39562225341797,80.19161910972367,77.91521050425649,79.89598067648322,6252300,CCI
2018-03-02,77.27957153320312,78.11475033210507,76.60699975482575,77.78954756872147,3842100,CCI
2018-03-05,79.6151123046875,79.8146649672945,76.88046435966139,76.88046435966139,2935900,CCI
2018-03-06,79.62250518798828,80.50941468636096,79.33425368024244,79.53381198261779,2326700,CCI
2018-03-07,79.52640533447266,79.89595183290314,79.0312143798955,79.0312143798955,2197700,CCI
2018-03-08,81.47762298583984,81.7510894669168,79.74814781256829,80.2507313536514,4080700,CCI
2018-03-09,82.0319595336914,82.0319595336914,81.38155949340357,81.78067053136455,3951900,CCI
2018-03-12,82.32758331298828,82.80799497533307,81.86934354233382,81.86934354233382,3442900,CCI
2018-03-13,82.52714538574219,82.89669196768337,82.12803440058573,82.26107139563788,3026600,CCI
2018-03-14,82.83756256103516,83.02972272229222,82.3571508802259,82.63800425048619,2415500,CCI
2018-03-15,81.77812194824219,83.30759369924486,81.67367082977127,82.88232111269448,2914300,CCI
2018-03-16,81.3826904296875,82.04670348060908,80.56945744520249,81.5095231040976,5239600,CCI
2018-03-19,80.71869659423828,81.36778496024289,80.12929052370826,81.3081026647683,2542600,CCI
2018-03-20,81.22602844238281,82.09148144476464,80.81568066615039,80.83806223718862,3502900,CCI
2018-03-21,80.27104187011719,81.70352510345965,80.04722045614726,81.48716041877688,1819700,CCI
2018-03-22,81.28570556640625,82.21830891476868,79.93529773946835,80.03974885911222,3447000,CCI
2018-03-23,81.81539916992188,82.58386313543808,81.67364169164556,81.86016229267986,4929700,CCI
2018-03-26,83.06139373779297,83.21060801059528,82.12879030237939,82.46452526226442,2535500,CCI
2018-03-27,82.56896209716797,83.74777400157096,82.24814634323953,83.13598648153982,2259500,CCI
2018-03-28,82.72564697265625,83.80000787235284,82.60627670166731,82.68834625329187,2014100,CCI
2018-03-29,81.77812194824219,83.16583617039474,81.30809191512304,82.79279483523887,3418300,CCI
2018-04-02,81.17379760742188,82.39737274342889,80.62915474817235,81.76319791368162,2733800,CCI
2018-04-03,80.121826171875,81.46477740049458,79.44289382841042,81.3603262707308,3879800,CCI
2018-04-04,81.25586700439453,81.41254368335136,79.78608322140455,79.78608322140455,3047400,CCI
2018-04-05,81.91986846923828,82.31529132062373,80.96487799815101,81.32300013632852,2773900,CCI
2018-04-06,80.58438873291016,82.3078378353276,80.48739434529294,81.95717807859218,2273300,CCI
2018-04-09,81.21855926513672,82.09893703641596,80.51723973942778,80.70376040544322,2418200,CCI
2018-04-10,77.32400512695312,81.94225853619577,75.86914624127773,81.68113074801799,5754800,CCI
2018-04-11,78.2342300415039,79.34589163750802,76.52570002645702,76.74952710663784,2665900,CCI
2018-04-12,77.4881362915039,78.55503459588644,76.93603678268222,78.48788420456367,2088500,CCI
2018-04-13,77.41352844238281,78.34613164747844,76.94349278403334,77.86117684239707,1393200,CCI
2018-04-16,77.83879089355469,78.38342794705648,77.37621768069519,77.81640932863789,1738900,CCI
2018-04-17,79.18921661376953,79.87561132550708,77.8313463396108,78.27899481717185,3159900,CCI
2018-04-18,79.52493286132812,80.21878983075395,78.67439924618135,79.07728448896002,2084500,CCI
2018-04-19,76.57792663574219,78.76394913911997,75.74231197606169,78.41328936503834,4308800,CCI
2018-04-20,76.5630111694336,78.22677245598305,76.43617278033994,76.7495318503931,3004100,CCI
2018-04-23,78.30136108398438,78.36104905390287,76.82412082752928,77.05540459576582,3117400,CCI
2018-04-24,78.59980010986328,79.39065152987315,78.18199567887136,78.63710651641262,3866600,CCI
2018-04-25,78.4878921508789,78.61473052685041,78.07008769024488,78.32375875002901,2095900,CCI
2018-04-26,78.41329193115234,79.00269795697999,78.15216412025639,78.50282390581354,3342300,CCI
2018-04-27,75.58564758300781,76.93606133840814,74.98132232901149,76.7868413612633,4451600,CCI
2018-04-30,75.2573471069336,77.42844431671573,73.75025720358536,74.60079083531338,6689300,CCI
2018-05-01,75.24988555908203,75.8840545806559,74.43665262927045,75.54085729477072,3706500,CCI
2018-05-02,75.22004699707031,76.15265024078134,74.92907524040514,74.9365376601592,3714000,CCI
2018-05-03,75.77960968017578,76.17503254860898,74.80224329275346,75.2573541354826,2083700,CCI
2018-05-04,77.07781219482422,77.59261114797023,75.73486657102076,75.73486657102076,1861700,CCI
2018-05-07,76.51822662353516,77.54782421400218,76.02581508683386,77.02556299925793,1675600,CCI
2018-05-08,76.65252685546875,76.68983326336651,75.772149135373,76.18995927362502,2732500,CCI
2018-05-09,77.4359359741211,77.47323669953754,76.24220460975228,76.84652986780397,2456000,CCI
2018-05-10,78.27898406982422,79.06983548683297,77.5105199119552,77.59258945232553,2175800,CCI
2018-05-11,77.30160522460938,78.83107656601186,77.0180959349934,78.33865940324159,1476100,CCI
2018-05-14,77.0628890991211,77.58514475517659,76.50332702813604,77.35386092066054,1276900,CCI
2018-05-15,77.055419921875,77.09272633353373,75.88407031699732,76.68984099468825,2942700,CCI
2018-05-16,76.83904266357422,77.17478323699932,76.4809262158441,76.90619305512257,1699600,CCI
2018-05-17,76.03328704833984,76.98080952741712,75.71992800330418,76.94350311733984,1964600,CCI
2018-05-18,76.27203369140625,76.99572909830579,75.80946038784329,76.04074419354525,1983000,CCI
2018-05-21,76.17501831054688,76.77188655762713,75.60799404503639,76.73458015762556,1610200,CCI
2018-05-22,75.89151763916016,76.18248937729992,75.43640682983221,76.10788226098477,2585100,CCI
2018-05-23,76.21978759765625,76.34662025098952,75.58561294667489,75.8840470720501,1052800,CCI
2018-05-24,75.98851013183594,76.51077135654863,75.68261923195654,76.31678829067486,1553200,CCI
2018-05-25,76.65252685546875,77.04049300583429,76.02582018632873,76.10042730996558,1427400,CCI
2018-05-29,77.18971252441406,77.66720497888845,76.43616743225704,76.47347384270246,2609900,CCI
2018-05-30,77.6075210571289,77.92088012164247,76.8614383464802,77.12257184893473,1348100,CCI
2018-05-31,77.70450592041016,77.80895703171511,76.8092033621637,77.27177663519896,3124200,CCI
2018-06-01,77.44337463378906,77.81641592645248,76.70474877596145,77.81641592645248,1335400,CCI
2018-06-04,77.84626770019531,78.33122260306155,77.27924893551912,77.88357411278479,2445100,CCI
2018-06-05,76.95841217041016,77.95070327644594,76.69728442991595,77.8686337448395,2849900,CCI
2018-06-06,76.76443481445312,77.08525054574548,76.02581466739703,76.92857388983408,2206500,CCI
2018-06-07,76.45857238769531,77.07036009232914,76.00346139730377,76.98082810183625,1739900,CCI
2018-06-08,76.87635040283203,76.99572065676024,76.14518696344753,76.6301417831472,2840600,CCI
2018-06-11,77.09272766113281,77.75674081654651,76.68237989445723,76.8166750097184,1941200,CCI
2018-06-12,78.09992980957031,78.12231137768865,76.48093187121106,76.97334344629084,2966400,CCI
2018-06-13,75.4065933227539,78.03280244675334,75.30214217926395,77.91343215083357,2606100,CCI
2018-06-14,76.27357482910156,76.85409256713889,75.38395494964983,75.38395494964983,3433000,CCI
2018-06-15,76.21324157714844,77.11794275513068,75.94937255720441,76.53742515934059,3324200,CCI
2018-06-18,76.115234375,76.23586349893772,75.7005847032688,75.94937220554223,2242000,CCI
2018-06-19,76.84654998779297,77.42706196017281,75.76845139458939,75.76845139458939,2504100,CCI
2018-06-20,77.34415435791016,77.57033120917524,76.36406809023275,76.67317031825101,1825800,CCI
2018-06-21,77.58538818359375,78.06789327849367,77.291356069222,77.31397834872324,1153800,CCI
2018-06-22,78.10557556152344,78.452375694532,77.1631820201153,77.78139195320249,2537800,CCI
2018-06-25,78.61824798583984,78.731336375731,77.67585432327097,78.06035254813511,2173200,CCI
2018-06-26,80.18638610839844,80.2919337301441,78.56546798599865,78.89719236972158,3673100,CCI
2018-06-27,80.1637954711914,81.03833401264366,79.87730404657697,80.21656929910735,1775600,CCI
2018-06-28,81.1212387084961,81.27956014066757,80.21654316696936,80.44271417639405,2087400,CCI
2018-06-29,81.28711700439453,81.67915028288155,80.05823759583905,80.60105732906347,2588400,CCI
2018-07-02,81.55850982666016,81.84499540291792,80.60104048481175,81.30971654227336,2178600,CCI
2018-07-03,82.18427276611328,82.84017511098958,81.1740237119264,81.66406959445433,2165200,CCI
2018-07-05,83.6845703125,83.76750142791786,82.21443826993843,82.21443826993843,2311300,CCI
2018-07-06,83.88810729980469,84.46862498631741,83.55638865942585,84.00119568371495,1795800,CCI
2018-07-09,82.63661193847656,84.28014663641869,82.16918263380734,84.09166791303961,2164600,CCI
2018-07-10,83.38298797607422,83.54130941709727,81.42281035856568,82.61399729797449,3474900,CCI
2018-07-11,83.57901000976562,84.03135781960073,83.17189525533968,83.35283322889083,1771100,CCI
2018-07-12,83.49608612060547,84.11429618957084,83.13420439032369,83.8730436200213,2011200,CCI
2018-07-13,83.72978210449219,84.05396572279489,83.18696248762127,83.83532972422665,1105800,CCI
2018-07-16,83.36038208007812,83.7297988229106,82.8175623548218,83.7297988229106,1178100,CCI
2018-07-17,83.5865478515625,83.65439743230756,82.97587286528554,83.55639056503772,2896500,CCI
2018-07-18,83.26236724853516,83.50361979761952,82.78739715833676,83.32267607187039,2156200,CCI
2018-07-19,83.70718383789062,84.62696108355956,82.66678317989133,82.66678317989133,2178700,CCI
2018-07-20,83.17941284179688,84.1444227677748,82.90046232335428,83.51867216667844,3099800,CCI
2018-07-23,81.98825073242188,83.40560876634828,81.55097868138945,83.1040473881745,2227200,CCI
2018-07-24,81.41526794433594,82.13149054611995,80.6311957628842,81.61128742767741,4123600,CCI
2018-07-25,82.11641693115234,82.50091517535466,81.25695432781637,81.70930215821718,2160800,CCI
2018-07-26,82.59138488769531,82.83263744107667,82.29735851800912,82.35766734241851,1792600,CCI
2018-07-27,82.22196960449219,83.19452066299804,82.16919578357707,82.89295350694803,1594000,CCI
2018-07-30,82.63661193847656,82.74215956341571,81.54343764364357,82.16918263380734,2422000,CCI
2018-07-31,83.55638885498047,83.98612011331387,82.59137871359417,82.61399524004632,2921900,CCI
2018-08-01,84.09165954589844,84.20474791905639,82.59137066761605,83.05125916705511,1559100,CCI
2018-08-02,83.87303161621094,84.4233920174337,83.6016217953222,84.19721524938836,1256200,CCI
2018-08-03,84.80789947509766,84.88328982714651,83.64686964741672,83.98613485950932,1305700,CCI
2018-08-06,83.6845703125,85.40349570131517,83.57148190493787,84.93607205286756,3334100,CCI
2018-08-07,83.87303161621094,83.97857924078832,82.49336598534556,83.70716941989959,3557400,CCI
2018-08-08,82.9004898071289,84.18214871340246,82.78740141070554,83.99366997000176,2289300,CCI
2018-08-09,84.00121307373047,84.06152765789088,82.8703405043418,82.89295703542312,1743600,CCI
