date,Close,High,Low,Open,Volume,stockname
2018-01-02,145.77964782714844,146.73471914575356,145.15391794414398,146.1501459494944,1047400,CMI
2018-01-03,147.3851318359375,147.54156743023466,145.62319617954532,146.01016447183102,932600,CMI
2018-01-04,149.6410369873047,149.72337545792442,147.56623064593745,147.88733058041564,1433800,CMI
2018-01-05,149.40231323242188,150.09391133307395,148.29080641394611,149.8633786328566,1123000,CMI
2018-01-08,149.94570922851562,150.15978428758805,148.41430620763825,149.13061592847933,1435000,CMI
2018-01-09,149.81396484375,150.9501580147213,149.5669619585515,150.24208977746622,1610400,CMI
2018-01-10,148.66131591796875,149.99511415211873,148.2578899431456,149.73165357295778,910800,CMI
2018-01-11,151.4112548828125,151.9134895807897,148.73541695621566,149.22119400468566,1216900,CMI
2018-01-12,151.64175415039062,152.39923300570334,151.08189267647688,151.40299265430116,1469200,CMI
2018-01-16,150.2997283935547,152.24279848292574,149.34465727640364,152.1604600006205,1449200,CMI
2018-01-17,151.23831176757812,151.77347415125158,150.1762032591852,150.4561465287142,1049400,CMI
2018-01-18,151.26303100585938,152.547430948744,150.91723198762804,150.97485887578887,873700,CMI
2018-01-19,155.6761016845703,156.0795401457565,153.69186235978992,154.09530082097615,1807400,CMI
2018-01-22,156.08779907226562,156.1042692844732,154.45759983026184,155.44559899017045,1237600,CMI
2018-01-23,155.1409149169922,156.71348683840765,154.80335731751856,156.42532729919418,1031300,CMI
2018-01-24,155.07510375976562,157.27340601445215,154.8363296491332,155.79140096548056,1352800,CMI
2018-01-25,155.93955993652344,156.41709548674356,153.67538990671966,156.41709548674356,1430300,CMI
2018-01-26,158.49188232421875,158.51658135278078,155.7007790289287,156.6640788321081,1120200,CMI
2018-01-29,157.10043334960938,159.87506623085372,156.49117393981828,158.12137251854443,1289500,CMI
2018-01-30,154.1693878173828,155.80782802370769,152.6956245644038,155.79135781575556,1427500,CMI
2018-01-31,154.78689575195312,157.42980519122136,154.22703428696246,155.52789182340268,1466800,CMI
2018-02-01,155.75021362304688,156.63941654913572,153.09084623162548,154.51521165288287,927600,CMI
2018-02-02,151.74880981445312,155.6102513962318,151.5100482898058,155.025678257407,1574500,CMI
2018-02-05,147.3851318359375,154.2599812195597,147.3851318359375,150.86784646650875,2188500,CMI
2018-02-06,143.9435577392578,148.91649209389644,139.34112135992882,142.9308599232551,3500800,CMI
2018-02-07,142.22279357910156,147.92849513340263,142.08282823394768,144.82452082297135,2542200,CMI
2018-02-08,136.4512176513672,142.8485299754237,136.42651862241263,142.31336759729234,2393300,CMI
2018-02-09,135.0680389404297,139.04474642755736,131.20659779076564,139.04474642755736,2808700,CMI
2018-02-12,136.48414611816406,137.9908495679369,135.43027909806378,136.28654134073807,1912300,CMI
2018-02-13,136.36888122558594,136.6982099616397,135.10918059370556,136.22891588460877,1176400,CMI
2018-02-14,136.67356872558594,137.3569380767848,134.28590297188148,135.21626269801502,1933000,CMI
2018-02-15,135.86666870117188,138.30373189334944,134.4834601473487,137.94970407301415,1881200,CMI
2018-02-16,136.34420776367188,137.95793646123693,135.3479674212179,135.79256255456264,1421100,CMI
2018-02-20,137.3486785888672,138.18024197938018,136.07250749654798,136.95346895101977,1540700,CMI
2018-02-21,136.90406799316406,139.31644475789656,136.87114013891707,137.91676597217844,1602900,CMI
2018-02-22,138.41233825683594,139.8211548453677,137.60018636685163,137.74936202540337,1151500,CMI
2018-02-23,140.49241638183594,140.70787828695245,138.85155997771471,139.59740034907344,1775600,CMI
2018-02-26,142.24102783203125,142.6388085701047,140.2438162310268,141.2797127902339,1386400,CMI
2018-02-27,140.93162536621094,143.63325115460924,140.91504748385964,142.30729876132744,1528800,CMI
2018-02-28,139.36541748046875,142.54768957763537,138.89305509107655,141.77698838880724,1747500,CMI
2018-03-01,133.33229064941406,139.55595137512464,132.74389595803794,139.22446960082934,2848100,CMI
2018-03-02,131.7162628173828,132.71072054348608,128.10305671787538,132.54497969667153,3080800,CMI
2018-03-05,133.37374877929688,133.53948969098346,130.44008279703823,130.937318177319,1937100,CMI
2018-03-06,133.1333770751953,135.79356413082982,133.03393508459058,134.58363178252955,1609900,CMI
2018-03-07,131.97320556640625,133.1416997777026,130.21632926247932,131.2190699283168,2416700,CMI
2018-03-08,131.93174743652344,133.09195885500986,130.92900692074554,132.14722195528626,1987400,CMI
2018-03-09,134.55880737304688,135.5118397377396,132.4538712543329,133.0173928791842,1646700,CMI
2018-03-12,132.64450073242188,134.8323140918818,131.83236124734074,134.5505532198448,1694400,CMI
2018-03-13,132.884765625,135.06428256595305,132.52841076733085,133.42342657482402,1768400,CMI
2018-03-14,132.27154541015625,133.9206970983271,131.84060894956312,133.60578053344517,1185800,CMI
2018-03-15,132.7273406982422,133.39859956104186,131.89032829061588,132.53672665073557,1090200,CMI
2018-03-16,134.72451782226562,135.68581985385794,132.37924738523728,132.76874535523382,4145000,CMI
2018-03-19,132.27154541015625,135.26321484087387,131.31023047699475,134.95659354047004,2374900,CMI
2018-03-20,133.42344665527344,134.64994436336872,132.39583294863107,132.8101914786164,1189200,CMI
2018-03-21,133.8212432861328,135.1389131792263,132.80192472128945,133.3654463196678,1553600,CMI
2018-03-22,130.56439208984375,132.82678641335838,130.5478142058547,132.3792847074183,2015300,CMI
2018-03-23,128.79920959472656,131.92347658856528,128.67490708836428,131.07818160964368,1468100,CMI
2018-03-26,133.1913604736328,133.522842124014,130.0670947056719,131.8737038423282,1550600,CMI
2018-03-27,131.558837890625,134.44276981994392,131.2356387316946,133.5311886090932,1905900,CMI
2018-03-28,132.3212432861328,133.97039468602878,131.3102075237147,131.3102075237147,1554500,CMI
2018-03-29,134.32675170898438,135.66928200978194,133.23285171245908,133.23285171245908,1495700,CMI
2018-04-02,131.54229736328125,134.25220655477145,129.2799026082984,133.84613051352926,1300800,CMI
2018-04-03,132.6776580810547,133.11687728244223,130.56442622528564,132.16384470482447,1475200,CMI
2018-04-04,133.3820343017578,133.66379512227888,128.93182686776012,128.93182686776012,1476700,CMI
2018-04-05,134.60025024414062,135.6112862708372,133.85440979930212,134.37649305260055,1910000,CMI
2018-04-06,130.85440063476562,134.21070679304307,129.44558435647625,133.6803284537382,1397900,CMI
2018-04-09,129.69419860839844,132.27150874789476,129.51187987349772,130.95385187356243,1306900,CMI
2018-04-10,134.18585205078125,134.94827015590178,131.40136248871528,131.67484060988093,1697800,CMI
2018-04-11,131.65003967285156,134.02845443797153,131.28540201299555,132.99255774302753,1342000,CMI
2018-04-12,134.078125,134.89027680776906,132.2632452954187,132.5947270549687,1464500,CMI
2018-04-13,134.5753631591797,135.78529563329755,134.1444267463847,135.0725984543446,1123900,CMI
2018-04-16,138.12228393554688,139.1416024750866,135.99248746543734,136.2659529933075,1774200,CMI
2018-04-17,138.7852325439453,140.27692562507687,138.5283323054316,139.5890890197435,1252400,CMI
2018-04-18,141.56976318359375,142.6056597010831,138.98416952241104,139.62227267262526,1719500,CMI
2018-04-19,140.48411560058594,141.93437041479586,139.38192042436015,141.3874141357271,1598300,CMI
2018-04-20,139.86260986328125,141.07252993270103,139.2244940581859,140.81562961571004,825700,CMI
2018-04-23,140.06980895996094,140.9150915458966,139.18307533257635,140.01179267620017,1070700,CMI
2018-04-24,133.69692993164062,142.45646301606735,130.28261956004496,141.27140364455076,2623300,CMI
2018-04-25,134.36822509765625,135.3709786138189,132.09753509975195,133.29918532401587,1672500,CMI
2018-04-26,134.24392700195312,135.36268782834512,132.7688111424035,134.45938895894443,1229300,CMI
2018-04-27,133.27427673339844,134.99799700083395,131.94832444821313,133.8212203542106,2119200,CMI
2018-04-30,132.47869873046875,135.4620849571332,131.82401787126008,134.02011284004243,1950100,CMI
2018-05-01,127.02574157714844,128.4511358380657,123.56171056425234,127.5726978355693,4037300,CMI
2018-05-02,121.09217071533205,125.5921123370879,120.55350951558394,124.5313551794263,3582600,CMI
2018-05-03,118.96234893798828,120.52032857503669,116.51763588426404,119.8573649738519,3231600,CMI
2018-05-04,119.79103088378906,120.55344891728916,117.7109433638674,118.03414245029916,2146900,CMI
2018-05-07,120.130859375,121.58111457760369,120.03140470521348,120.42919809391591,2078200,CMI
2018-05-08,120.9843978881836,122.4346526202737,119.8159038977616,120.52030575193186,1380300,CMI
2018-05-09,121.4236297607422,122.34350622276368,120.33801241223068,121.18329472689544,1291700,CMI
2018-05-10,121.09217071533205,122.05348584109495,120.47063272551988,121.7137087051442,1325800,CMI
2018-05-11,121.19985961914062,123.4705487208648,120.578321877504,121.1252781249965,1516300,CMI
2018-05-14,120.0562515258789,121.98716403580605,119.63361032443493,121.24132364614717,1434700,CMI
2018-05-15,121.35731506347656,121.42361393847722,119.15292488927008,119.34352625163608,1498600,CMI
2018-05-16,121.97057342529295,122.62526699799388,121.42362976438145,121.42362976438145,1084900,CMI
2018-05-17,122.18763732910156,123.38981343821484,121.45297132048904,121.93718184992048,930300,CMI
2018-05-18,124.3081283569336,124.84242741360168,122.0039660635576,122.0039660635576,1643100,CMI
2018-05-21,126.0613021850586,126.4787237154727,125.0594930598036,125.2264591242304,1278400,CMI
2018-05-22,124.4417495727539,126.41198041774956,124.4334057250607,126.08639201593114,653000,CMI
2018-05-23,124.4417495727539,124.60871569750972,122.78041943419024,123.97423932795812,1323100,CMI
2018-05-24,123.8740234375,124.97600970700772,123.37311248128162,124.33317695222291,821800,CMI
2018-05-25,122.3379364013672,123.79056838658292,121.7201604877718,123.36480287272408,1057300,CMI
2018-05-29,120.63484191894533,121.97059612909725,119.07368921755352,121.90380714472002,1873600,CMI
2018-05-30,121.45299530029295,121.89546121410602,119.93358717367202,121.05227409770134,1573500,CMI
2018-05-31,118.8733367919922,121.8286764643544,118.43087086277832,121.4696999604894,1382200,CMI
2018-06-01,119.86678314208984,120.89363666805724,119.2573511985624,119.87512698780816,1034000,CMI
2018-06-04,118.79818725585938,120.70997253615708,118.49764320102044,120.48457404904988,830500,CMI
2018-06-05,118.18872833251952,119.190537373829,117.48745053877911,118.75641545174076,1751000,CMI
2018-06-06,119.8417510986328,119.90854008728392,118.071874746121,118.56444194508582,1796000,CMI
2018-06-07,120.10052490234376,120.69326908876008,119.69980379443508,120.21740242292938,1152000,CMI
2018-06-08,119.95025634765624,120.63483383764088,118.78982489156864,119.78329026724634,1337700,CMI
2018-06-11,120.6849365234375,121.21089184009324,119.85009328490936,119.85009328490936,759600,CMI
2018-06-12,119.87513732910156,121.2025350184844,119.69982738302292,120.79346998516968,1230700,CMI
