date,Close,High,Low,Open,Volume,stockname
2018-01-02,77.59846496582031,78.24121946915929,76.86805773061118,78.18278926797028,1701500,HLT
2018-01-03,78.7379150390625,78.78661183702548,77.54005108209063,77.7250825681559,1425600,HLT
2018-01-04,78.153564453125,79.10796639107376,78.13409019851146,78.74762952499486,1548200,HLT
2018-01-05,77.21864318847656,78.14382258725861,76.84857291498086,78.14382258725861,2273600,HLT
2018-01-08,78.8255386352539,78.94239901900238,77.45236968552585,78.20225848831059,2483100,HLT
2018-01-09,79.7896728515625,79.9260149174463,78.85475264403708,78.99109470992087,1354800,HLT
2018-01-10,79.5169906616211,79.96497280761987,79.26378077733118,79.5267315037322,1745500,HLT
2018-01-11,80.89989471435547,81.04597762870695,79.50725146703131,79.83837323490037,3886400,HLT
2018-01-12,81.75691986083984,82.49706799668992,80.92912641644699,81.07520936077213,1870000,HLT
2018-01-16,81.22127532958984,82.76973489757657,80.81224911503702,82.36070868302373,1530600,HLT
2018-01-17,81.83482360839844,82.30228749768482,80.73434607353244,80.73434607353244,1440300,HLT
2018-01-18,81.75691986083984,82.60419499385587,81.71797134376786,81.98091469948334,1314400,HLT
2018-01-19,83.25665283203125,83.80202841614079,82.2730434728183,82.42885976107543,2206800,HLT
2018-01-22,83.52937316894531,83.5488548572368,82.79896588984262,83.1885179247148,1541400,HLT
2018-01-23,84.26951599121094,84.7077647891567,83.33459562438121,83.4514634565174,1632600,HLT
2018-01-24,83.54883575439453,84.71748416172093,82.90607392930525,84.53245274578023,2134200,HLT
2018-01-25,84.36688232421875,84.48375012891061,83.16901890398776,83.79229900217467,1467800,HLT
2018-01-26,85.39921569824219,85.39921569824219,84.07474332693897,84.66880846833615,944700,HLT
2018-01-29,84.99990844726562,85.80822742798776,84.75643941187356,85.15573219635749,1599100,HLT
2018-01-30,84.15264129638672,85.14599169552719,84.10394451707916,84.24028658303793,1678600,HLT
2018-01-31,83.41250610351562,84.72723761497204,83.3930244167787,84.25977372441,1857400,HLT
2018-02-01,83.51963806152344,84.03579133947706,82.8768761025033,83.1008709327916,2139900,HLT
2018-02-02,80.49088287353516,83.55859490245251,80.1597610465293,83.31512581174617,2718400,HLT
2018-02-05,77.82245635986328,80.84147131308526,77.7348036318534,79.98445543959437,2386200,HLT
2018-02-06,78.58207702636719,78.85476118767916,75.7480935711189,76.52719754351266,4634700,HLT
2018-02-07,79.87730407714844,81.10438988418068,78.43597179721702,78.87421301325794,3526600,HLT
2018-02-08,76.6051025390625,80.21818221175971,76.58562085495691,79.80914857648258,5065800,HLT
2018-02-09,78.32887268066406,79.10797670835916,75.53384496865107,77.16022406920808,3239100,HLT
2018-02-12,79.68254852294922,80.01367028684857,78.48467755573078,78.79632506532339,2435900,HLT
