date,Close,High,Low,Open,Volume,stockname
2018-01-02,115.0886459350586,117.0139455636491,114.9171304470723,116.22924290456722,376803,HUBB
2018-01-03,114.35113525390624,116.28372396820484,113.9737932704717,115.20872591233206,419888,HUBB
2018-01-04,116.22926330566406,116.31502760760742,114.88285274856084,114.88285274856084,319602,HUBB
2018-01-05,116.5722885131836,116.72666163180386,116.18637534532476,116.52083516890836,305535,HUBB
2018-01-08,116.67521667480467,117.10401202231532,116.16924130533306,116.50370115295954,252616,HUBB
2018-01-09,115.92051696777344,116.7952630221843,114.62555990465248,116.5036853659786,317385,HUBB
2018-01-10,115.05435943603516,115.84334122733652,114.48834649255998,115.52603688893116,622799,HUBB
2018-01-11,116.02342224121094,116.08775200247588,114.45832207103798,115.423111460489,363908,HUBB
2018-01-12,118.63906860351562,121.49484658632971,118.0730557235072,118.3474909692541,370888,HUBB
2018-01-16,116.93248748779295,119.479532702554,116.87244986258708,118.93924641887908,251837,HUBB
2018-01-17,116.80384826660156,117.57568773184808,116.62376155143409,117.30982362837058,271078,HUBB
2018-01-18,118.78487396240234,121.0917948607728,117.6614323259872,117.6614323259872,414606,HUBB
2018-01-19,118.61334228515624,119.65960376251807,118.2274291697539,119.39375279603632,331154,HUBB
2018-01-22,118.82774353027344,119.71964502293194,117.42986675789524,119.01641449657454,240932,HUBB
2018-01-23,117.9444580078125,119.18796201196692,117.79009794979736,118.70771327263527,234017,HUBB
2018-01-24,117.19833374023438,118.64766393811333,116.80383630916558,118.56189964437844,207581,HUBB
2018-01-25,118.5018539428711,118.51043822313576,116.22924425756366,117.93585413450694,351030,HUBB
2018-01-26,119.38517761230467,119.62349606277591,117.47274140197258,118.74198474619652,438932,HUBB
2018-01-29,118.37322235107422,119.59099935953054,118.19313566395098,119.06786860156473,429009,HUBB
2018-01-30,119.03356170654295,127.80670868722144,118.89634408861636,126.95768939781684,729867,HUBB
2018-01-31,116.58943939208984,120.21704396417726,115.9290909664116,120.21704396417726,880602,HUBB
2018-02-01,117.67002868652344,119.95979434325092,115.71900194310682,116.61518267702068,533150,HUBB
2018-02-02,114.7885284423828,117.3098342843198,114.42832880773815,117.02684084906494,367661,HUBB
2018-02-05,110.5434341430664,114.37686555468495,110.28616740601446,114.27395885986418,481033,HUBB
2018-02-06,111.92414093017578,112.12139618366466,108.68245615518848,108.8110895067737,475084,HUBB
2018-02-07,113.87947082519533,114.89143472272217,111.96704710176468,111.96704710176468,470773,HUBB
2018-02-08,111.18663787841795,115.10583397082448,111.00655114511682,113.65650347863556,341558,HUBB
2018-02-09,113.2877426147461,114.5569732529414,110.32904407674891,112.86751843893585,435529,HUBB
2018-02-12,114.333984375,115.6975502800828,112.80103595254332,114.18818245839157,649814,HUBB
2018-02-13,114.5569839477539,115.21733254687707,113.87090867075035,114.17964189111208,237848,HUBB
2018-02-14,116.4350814819336,116.5508515040919,113.65219103745572,114.05955181396618,321074,HUBB
2018-02-15,116.8896026611328,117.36555916809836,116.07489419948186,116.95821148017,195548,HUBB
2018-02-16,116.17777252197266,117.6271023915384,116.10916371968536,116.5208034476182,253317,HUBB
2018-02-20,114.31682586669922,115.95482699983752,114.0209560724907,115.43169622747688,257646,HUBB
2018-02-21,114.90859985351562,116.57231506919774,114.18821361216942,114.18821361216942,432819,HUBB
2018-02-22,115.2516098022461,116.45223150784878,114.99432998367548,115.49173414336664,306643,HUBB
2018-02-23,115.36311340332033,116.37506422511424,114.30826734030876,115.90338668707614,141968,HUBB
2018-02-26,115.2687530517578,115.79188382923176,114.34255365463376,115.75757287797136,360279,HUBB
2018-02-27,114.880615234375,116.6401743565999,114.8202316895913,115.4757642960836,376142,HUBB
2018-02-28,113.03479766845705,115.64826803074484,113.00892276674657,115.14799799569028,229908,HUBB
2018-03-01,111.7151336669922,113.7765843500615,110.79221823071488,113.06930188549096,239902,HUBB
2018-03-02,110.6973114013672,111.38724724148427,108.99812953867142,110.93019863746792,378771,HUBB
2018-03-05,111.12857818603516,111.26658641313988,109.71402676118387,110.50755432525274,308550,HUBB
2018-03-06,111.49950408935548,111.62887861184088,109.49842373363082,111.22348755979654,480221,HUBB
2018-03-07,108.44612884521484,113.42293456130191,107.77766536723254,110.66283536391153,793657,HUBB
2018-03-08,108.67901611328124,109.37766482536163,106.08279333023044,108.50651237073666,879464,HUBB
2018-03-09,108.9377670288086,110.31781656806967,108.47199907544636,109.300028799003,578601,HUBB
2018-03-12,107.8854751586914,109.82617163737332,107.566336035405,109.09302095043472,503975,HUBB
2018-03-13,108.28225708007812,109.205165963188,107.04020902034289,107.84236396215584,1203599,HUBB
2018-03-14,108.96363830566406,109.98142604088233,108.43757895583649,108.98951320544668,513860,HUBB
2018-03-15,107.79058837890624,109.86066578994738,107.67845504551735,108.7911217362094,503439,HUBB
2018-03-16,108.9895248413086,110.80946756706264,107.94569099939508,108.03211396356706,974858,HUBB
2018-03-19,108.22185516357422,108.76524777415467,107.27307159468684,108.76524777415467,382190,HUBB
2018-03-20,108.1787338256836,109.73992081590134,108.02347784269496,108.54099559245869,228859,HUBB
2018-03-21,108.12700653076172,109.51568350637145,107.79924675649605,108.01487974549634,238578,HUBB
2018-03-22,104.84075927734376,107.84236672445957,104.74588023809504,106.99708911373013,318516,HUBB
2018-03-23,102.08065032958984,105.1426412452442,102.06340258683576,104.6078690915203,441003,HUBB
