date,Close,High,Low,Open,Volume,stockname
2018-01-02,145.66465759277344,147.1029893755516,144.90712799355512,145.76053759941146,3168900,MA
2018-01-03,147.49609375,147.64950464202593,145.90433686459204,146.02898229989668,3732400,MA
2018-01-04,149.40432739257812,150.92895570360724,147.97559372800958,148.18653561357905,3247200,MA
2018-01-05,152.5015411376953,152.5015411376953,149.76871911558183,149.77830272825622,2747700,MA
2018-01-08,152.96249389648438,154.1245665127792,151.81961867643344,152.29981736354722,3143100,MA
2018-01-09,153.1834259033203,153.76926905878594,152.26143770695438,153.32747968970315,2573900,MA
2018-01-10,153.52914428710938,153.63478859784286,151.3298404693886,152.92408917522644,2416900,MA
2018-01-11,154.5471954345703,154.74888539865128,153.12581094818614,153.75967694443392,2804000,MA
2018-01-12,155.9013671875,156.08384510316606,153.90373812598236,155.1042353032521,3041000,MA
2018-01-16,155.86293029785156,157.44759523468335,154.921744691267,157.1594730048498,4673400,MA
2018-01-17,157.8125457763672,157.98541031580268,156.42957084286368,156.66005689544437,3136000,MA
2018-01-18,158.9265899658203,159.4067887634668,157.6108499497103,158.3023373906816,4150600,MA
2018-01-19,160.22312927246094,160.3383722920748,158.61926707998393,159.7141197298277,2947800,MA
2018-01-22,161.61572265625,161.66374547181618,159.70452597095988,159.9830495085403,2275900,MA
2018-01-23,160.5689239501953,162.25921894388037,160.05030088831455,161.82704282865217,3035300,MA
2018-01-24,160.39598083496094,161.44282524500468,159.37796183199433,161.28915812827313,3912400,MA
2018-01-25,161.91339111328125,162.23992270607894,160.51121914209065,161.35635887318463,2088900,MA
2018-01-26,163.59410095214844,163.6133130047421,162.10548194793986,162.31677056296314,2191600,MA
2018-01-29,161.87501525878906,164.04550851690254,161.62530250876878,163.38283184108582,3082800,MA
2018-01-30,160.5689239501953,161.3468438885078,159.7141704229187,160.78021265621953,4227100,MA
2018-01-31,162.30718994140625,162.9506545571897,160.40560684890414,160.8761922810943,5815300,MA
2018-02-01,166.08154296875,169.72145792662258,164.22798271264628,165.67817775220675,6848400,MA
2018-02-02,163.79579162597656,170.0959966916326,163.67093526529356,165.09231941925196,6556500,MA
2018-02-05,158.0718231201172,165.14996275475914,157.51479080413364,160.74172703343294,7196000,MA
2018-02-06,162.57611083984375,162.65294440935418,150.5903524318084,154.14382075826302,7259900,MA
2018-02-07,162.0478515625,165.7741982182959,160.81854404492844,162.3071629675429,4364800,MA
2018-02-08,154.25904846191406,162.53768523661833,154.10539599266124,162.08629721964883,6557700,MA
2018-02-09,158.65765380859375,159.89657470999344,152.2902287604417,155.26745202520078,6303000,MA
2018-02-12,161.52926635742188,162.13432150365597,159.0226281645282,160.19431434845572,5227400,MA
2018-02-13,163.38282775878906,164.00709496373767,160.39599076939945,160.7033250218979,3471000,MA
2018-02-14,165.687744140625,165.82219917469328,162.30714158540866,162.6528851950842,4203700,MA
2018-02-15,167.7718505859375,167.78144928582944,164.57372498147998,167.06115112233462,3915000,MA
2018-02-16,168.69378662109375,169.67339600948085,167.24359191579066,167.44528180482638,4213100,MA
2018-02-20,168.4057159423828,169.4429323984985,167.14758284443005,167.95432792235857,3750100,MA
2018-02-21,165.49569702148438,169.36609760544334,165.45727291663738,168.40570014729963,5999500,MA
2018-02-22,166.10079956054688,166.94595432915946,164.03595011528657,166.4753541230897,5605800,MA
2018-02-23,168.79949951171875,168.8187115695535,165.65900949028122,167.01315915025145,3093800,MA
2018-02-26,170.8258819580078,171.0851933609523,169.08756499743834,169.51014220090303,4088100,MA
2018-02-27,168.9627227783203,172.07441591043215,168.9627227783203,170.68184248580437,3815900,MA
2018-02-28,168.79949951171875,171.8823826686647,168.78990081005455,169.30850913554218,4145700,MA
2018-03-01,166.61940002441406,170.3265356831076,165.332455986169,169.366137995928,4658500,MA
2018-03-02,168.08880615234375,168.38652708859198,162.56651948920685,164.76582372967368,4190100,MA
2018-03-05,171.4597930908203,172.17049263493914,166.062362930326,167.2340492480462,4826500,MA
2018-03-06,170.49937438964844,172.95798975144928,169.94234205697427,172.0840244715034,3820900,MA
2018-03-07,172.1128387451172,172.59303748485587,168.59778045314948,168.7994557173183,2766100,MA
2018-03-08,172.1512451171875,172.7658989068791,170.52817106118096,172.24729072521836,2235300,MA
2018-03-09,175.98324584960938,176.069678108842,172.84274187363,173.11165200535575,4168900,MA
2018-03-12,175.31097412109375,176.25217433464502,174.5042436419109,175.58949763585034,3589000,MA
2018-03-13,173.84156799316406,176.45385069301517,173.015625453439,176.2041525873326,3286600,MA
2018-03-14,172.98684692382812,174.7923994759895,172.5066480241688,174.782800773619,2820700,MA
2018-03-15,173.783935546875,174.95562174240683,172.89077285025854,173.41899443914645,2258200,MA
2018-03-16,175.32058715820312,175.91602898873387,173.84156662787862,173.84156662787862,4605000,MA
2018-03-19,173.42857360839844,175.08045839789094,172.01678818186122,174.59064631858078,3770000,MA
2018-03-20,175.2821807861328,175.99288036719415,174.04327418814725,174.12970646497055,2859300,MA
2018-03-21,173.59185791015625,176.23295118403138,173.58225921023623,175.71434295277936,3238400,MA
2018-03-22,168.56895446777344,173.12122873023148,168.17518801969126,172.10320983870292,4387300,MA
2018-03-23,165.02508544921875,169.86548185173592,164.8618196512937,169.20280530724523,4324100,MA
2018-03-26,170.15362548828125,170.44174767285938,166.20639112671907,168.3864975828065,5470100,MA
2018-03-27,165.687744140625,171.4309158165411,164.1991254141193,171.29646078247282,5069100,MA
