date,Close,High,Low,Open,Volume,stockname
2018-01-02,78.0,78.13999938964844,76.38999938964844,76.68000030517578,971400,MOH
2018-01-03,77.16999816894531,77.91000366210938,76.27999877929688,77.91000366210938,845600,MOH
2018-01-04,77.63999938964844,78.19000244140625,77.27999877929688,77.6500015258789,542100,MOH
2018-01-05,80.58999633789062,80.6500015258789,77.91000366210938,77.9800033569336,888400,MOH
2018-01-08,82.7300033569336,83.0199966430664,79.7699966430664,80.5999984741211,1785700,MOH
2018-01-09,85.66000366210938,86.38999938964844,83.16000366210938,83.31999969482422,2119000,MOH
2018-01-10,85.05999755859375,85.19999694824219,80.36000061035156,82.86000061035156,2692800,MOH
2018-01-11,84.41000366210938,86.16999816894531,84.16000366210938,85.37000274658203,1050800,MOH
2018-01-12,85.81999969482422,86.0,84.61000061035156,84.72000122070312,740800,MOH
2018-01-16,89.62999725341797,91.33999633789062,87.66000366210938,87.79000091552734,2308000,MOH
2018-01-17,91.97000122070312,92.41000366210938,88.95999908447266,89.70999908447266,1994900,MOH
2018-01-18,93.7699966430664,93.8499984741211,91.58999633789062,91.62000274658205,1637800,MOH
2018-01-19,91.83000183105467,93.9800033569336,91.33000183105467,93.5999984741211,1660300,MOH
2018-01-22,91.97000122070312,92.37999725341795,90.55999755859376,91.62999725341795,1423900,MOH
2018-01-23,92.2699966430664,92.52999877929688,91.4499969482422,91.93000030517578,787800,MOH
2018-01-24,92.0,93.5500030517578,91.7300033569336,92.8499984741211,687800,MOH
2018-01-25,92.05999755859376,93.0500030517578,90.8499984741211,92.2300033569336,561600,MOH
2018-01-26,92.48999786376952,93.5999984741211,91.66000366210938,92.25,1080100,MOH
2018-01-29,91.79000091552734,93.01000213623048,91.66000366210938,92.19000244140624,1726000,MOH
2018-01-30,91.02999877929688,91.66000366210938,88.95999908447266,88.95999908447266,856800,MOH
2018-01-31,91.36000061035156,92.80999755859376,90.56999969482422,91.8000030517578,1010600,MOH
2018-02-01,91.4800033569336,92.68000030517578,90.80999755859376,91.45999908447266,759400,MOH
2018-02-02,90.62999725341795,91.83999633789062,89.83999633789062,90.79000091552734,1095100,MOH
2018-02-05,87.58999633789062,89.9800033569336,86.4000015258789,89.9800033569336,1426000,MOH
2018-02-06,82.43000030517578,83.87000274658203,79.05999755859375,79.5,3338900,MOH
2018-02-07,81.66000366210938,83.4800033569336,81.44000244140625,82.05999755859375,1885100,MOH
2018-02-08,77.98999786376953,82.06999969482422,77.91999816894531,81.47000122070312,1453400,MOH
2018-02-09,78.44000244140625,79.20999908447266,76.20999908447266,78.30000305175781,1441300,MOH
2018-02-12,78.38999938964844,79.18000030517578,77.19999694824219,78.52999877929688,1595400,MOH
2018-02-13,75.45999908447266,79.30999755859375,72.23999786376953,76.0,3642600,MOH
2018-02-14,73.25,75.27999877929688,72.83000183105469,74.7300033569336,1424900,MOH
2018-02-15,72.5999984741211,73.61000061035156,71.62999725341797,73.25,1645600,MOH
2018-02-16,72.12000274658203,72.94999694824219,71.56999969482422,72.66999816894531,1307400,MOH
2018-02-20,71.86000061035156,73.08000183105469,71.1500015258789,71.77999877929688,1004000,MOH
2018-02-21,71.13999938964844,72.37000274658203,71.08999633789062,72.01000213623047,915800,MOH
2018-02-22,71.55999755859375,72.36000061035156,71.25,71.5199966430664,799500,MOH
2018-02-23,72.94000244140625,73.01000213623047,71.16000366210938,71.75,1228000,MOH
2018-02-26,74.0,74.5,71.87999725341797,72.29000091552734,1060300,MOH
2018-02-27,73.06999969482422,74.94000244140625,73.0199966430664,74.22000122070312,744900,MOH
2018-02-28,72.30000305175781,74.04000091552734,72.2699966430664,73.2300033569336,878400,MOH
2018-03-01,71.87999725341797,73.04000091552734,71.06999969482422,72.16999816894531,813100,MOH
2018-03-02,72.98999786376953,73.58999633789062,71.2300033569336,71.91000366210938,950100,MOH
2018-03-05,74.08999633789062,74.44999694824219,72.22000122070312,72.87000274658203,948900,MOH
2018-03-06,73.98999786376953,74.44000244140625,72.7699966430664,74.12999725341797,1258400,MOH
2018-03-07,74.75,74.87000274658203,72.88999938964844,73.2300033569336,1465700,MOH
2018-03-08,74.75,75.23999786376953,73.79000091552734,75.0,1110200,MOH
2018-03-09,75.48999786376953,75.81999969482422,74.80999755859375,74.86000061035156,742600,MOH
2018-03-12,75.80999755859375,76.27999877929688,75.08000183105469,75.83999633789062,866300,MOH
2018-03-13,76.13999938964844,76.72000122070312,75.66999816894531,76.01000213623047,664600,MOH
2018-03-14,76.2300033569336,77.2699966430664,75.72000122070312,76.12999725341797,1027000,MOH
2018-03-15,75.87000274658203,77.13999938964844,75.70999908447266,76.4000015258789,1989800,MOH
